review_id,product_id,customer_id,rating,review_text,review_date
1,16,1516,4,"Customer service was excellent, product too.",2024-03-03
2,1516,1516,4,"Customer service was excellent, product too.",2024-01-08
3,1566,9066,1,Basic functionality but reliable.,2024-03-23
4,66,9066,1,Basic functionality but reliable.,2024-03-25
5,1522,1522,3,Better than similar products I have tried.,2024-03-03
6,22,1522,3,Better than similar products I have tried.,2024-09-23
7,1508,3008,2,"Fantastic, exactly what I needed.",2024-05-03
8,8,3008,2,"Fantastic, exactly what I needed.",2024-02-27
9,1560,60,1,Definitely recommend to others.,2023-12-13
10,60,60,1,Definitely recommend to others.,2024-11-04
11,12,7512,4,Could be better for the price point.,2024-01-16
12,1512,7512,4,Could be better for the price point.,2024-11-13
13,1521,21,2,Exactly what I was looking for.,2024-06-24
14,21,21,2,Exactly what I was looking for.,2024-07-12
15,10,7510,2,Very impressed with the build quality.,2024-01-19
16,1510,7510,2,Very impressed with the build quality.,2023-12-30
17,31,1531,2,"Not as described, slightly disappointed.",2024-11-11
18,1531,1531,2,"Not as described, slightly disappointed.",2024-04-28
19,37,4537,5,"Does the basics well, nothing fancy.",2024-06-08
20,1537,4537,5,"Does the basics well, nothing fancy.",2023-12-28
21,1550,7550,3,Outstanding quality and design.,2024-10-16
22,50,7550,3,Outstanding quality and design.,2024-03-18
23,75,1575,5,Could use some improvements.,2024-07-05
24,1575,1575,5,Could use some improvements.,2024-04-20
25,1522,9022,3,Better than similar products I have tried.,2024-02-29
26,22,9022,3,Better than similar products I have tried.,2024-01-04
27,25,1525,1,Decent product but overpriced.,2023-12-20
28,1525,1525,1,Decent product but overpriced.,2023-12-11
29,1530,7530,3,Absolutely love this product!,2023-12-04
30,30,7530,3,Absolutely love this product!,2024-01-22
31,1550,9050,3,Outstanding quality and design.,2024-08-30
32,50,9050,3,Outstanding quality and design.,2024-11-06
33,72,72,5,Really impressed with the quality.,2024-10-05
34,1572,72,5,Really impressed with the quality.,2024-11-09
35,1556,9056,1,Love the design and functionality.,2024-05-11
36,56,9056,1,Love the design and functionality.,2024-05-30
37,25,9025,1,Decent product but overpriced.,2024-02-13
38,1525,9025,1,Decent product but overpriced.,2024-05-31
39,1521,1521,2,Exactly what I was looking for.,2024-11-02
40,21,1521,2,Exactly what I was looking for.,2024-11-11
41,1520,7520,3,"Not worth the money, save your cash.",2023-12-27
42,20,7520,3,"Not worth the money, save your cash.",2024-04-19
43,1511,6011,4,"Shipping was fast, product works great!",2024-04-28
44,11,6011,4,"Shipping was fast, product works great!",2024-04-25
45,16,6016,4,"Customer service was excellent, product too.",2024-04-04
46,1516,6016,4,"Customer service was excellent, product too.",2024-10-19
47,1560,3060,1,Definitely recommend to others.,2024-09-08
48,60,3060,1,Definitely recommend to others.,2024-10-01
49,38,9038,4,Worth every penny spent.,2024-10-14
50,1538,9038,4,Worth every penny spent.,2024-07-14
51,24,7524,5,Would give it 6 stars if I could!,2024-11-04
52,1524,7524,5,Would give it 6 stars if I could!,2024-05-30
53,1567,3067,4,Impressive attention to detail.,2023-12-18
54,67,3067,4,Impressive attention to detail.,2024-06-11
55,7,7507,3,Amazing! Exceeded my expectations.,2024-10-19
56,1507,7507,3,Amazing! Exceeded my expectations.,2024-05-30
57,1544,7544,5,Minor issues but works as intended.,2024-07-23
58,44,7544,5,Minor issues but works as intended.,2024-07-27
